commercial_district_code,area_size
3111088,71669
3110439,99026
3110440,54632
3110441,54737
3110442,20050
3110425,104277
3110474,125765
3110451,178167
3110509,117804
3110510,42513
3110488,93490
3110489,31324
3110490,128235
3110475,70709
3110476,31638
3110526,112347
3110498,115165
3110499,122136
3110500,26069
3110462,155714
3110463,53976
3110464,99182
3110540,61616
3110541,101027
3110527,106073
3110528,59337
3110573,9367
3110574,16304
3110549,101078
3110550,173803
3111079,66695
3111080,83549
3111082,21834
3111083,81524
3110593,177705
3110594,77868
3110595,187236
3110443,39392
3110575,71531
3110576,76040
3110426,130017
3110405,185625
3110452,112690
3110557,112569
3110558,321532
3110559,100801
3110413,74353
3110444,73705
3110446,59764
3110427,30640
3110428,217725
3110477,101732
3110478,61196
3110453,209465
3110454,117225
3110511,200962
3110512,112524
3110513,81070
3110515,64938
3110564,49371
3110479,102295
3110529,113498
3110501,123377
3110502,125757
3110503,154746
3110482,35348
3110532,61152
3110533,39228
3110565,43573
3110419,125994
3110577,26040
3110578,111950
3110551,102638
3110552,97940
3110590,59702
3110591,51038
3110592,42118
3110420,50431
3110468,243033
3110469,197026
3110579,55046
3110429,160554
3110406,247532
3110407,454340
3110408,53197
3110432,69099
3110433,95309
3110434,38090
3110435,17818
3110692,68249
3110693,9129
3110694,196285
3110695,191612
3110696,87977
3110663,38550
3110664,22736
3110665,205223
3110666,48432
3110749,145627
3110750,113692
3110681,82313
3110683,41660
3110703,119182
3110706,44173
3110722,84987
3110723,42837
3110724,64563
3110725,39903
3110803,97248
3110804,83571
3110805,27917
3110733,36821
3110734,16742
3110735,180092
3110736,124454
3110755,59664
3110756,49828
3110757,73590
3110758,38867
3110807,44675
3110774,35052
3110775,35075
3110776,113740
3110643,127210
3110644,121040
3110645,180103
3110790,115306
3110791,21697
3110792,129915
3110809,31824
3110653,122821
3110608,199259
3110609,48181
3110699,55364
3110700,131905
3110624,43801
3110625,100874
3110626,127884
3110654,276225
3110655,121172
3110562,96104
3110563,37381
3110751,142894
3110752,160859
3110684,56085
3110686,191258
3110707,185688
3110708,50397
3110709,88217
3110710,224117
3110711,157006
3110712,83115
3110668,178678
3110670,146128
