year_quarter_code,commercial_district_code,commercial_district_name,total_household,household_under_20_pyeong,household_20_to_30_pyeong,household_30_to_40_pyeong,household_40_to_50_pyeong,household_over_50_pyeong,household_less_than_100_million_price,household_100_million_to_200_million_price,household_200_million_to_300_million_price,household_300_million_to_400_million_price,household_400_million_to_500_million_price,household_500_million_to_600_million_price,household_over_than_600_million_price,apartment_avg_area,apartment_avg_price
20213,3110538,충정로역 3번,1,1.0,8.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,67,182222222
20212,3110538,충정로역 3번,1,1.0,8.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,67,182222222
20211,3110538,충정로역 3번,1,1.0,8.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,67,182222222
20224,3110539,미근동,1,12.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,46,104275000
20223,3110539,미근동,1,12.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,46,104275000
20222,3110539,미근동,1,12.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,46,104275000
20221,3110539,미근동,1,12.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,46,104275000
20214,3110539,미근동,1,12.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,46,104275000
20213,3110539,미근동,1,108.0,0.0,0.0,0.0,0.0,19.0,89.0,0.0,0.0,0.0,0.0,0.0,44,108527778
20212,3110539,미근동,1,108.0,0.0,0.0,0.0,0.0,19.0,89.0,0.0,0.0,0.0,0.0,0.0,44,108527778
20211,3110539,미근동,1,108.0,0.0,0.0,0.0,0.0,19.0,89.0,0.0,0.0,0.0,0.0,0.0,44,108527778
20224,3110525,홍은종합사회복지관,4,29.0,5.0,2.0,0.0,0.0,4.0,21.0,0.0,0.0,4.0,5.0,2.0,59,221497096
20223,3110525,홍은종합사회복지관,3,25.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,52,114087037
20222,3110525,홍은종합사회복지관,3,25.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,52,114087037
20221,3110525,홍은종합사회복지관,3,25.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,52,114087037
20214,3110525,홍은종합사회복지관,3,25.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,52,114087037
20213,3110525,홍은종합사회복지관,3,25.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,52,107861111
