year_quarter_code,service_code,major_category_code,major_category_code_name,middle_category_code,middle_category_code_name,service_name,store_count,franchise_store_count
20211,CS300031,C03,도소매업,C0303,잡화소매,가구,3406,3
20211,CS100009,C01,외식업,C0103,호프간이주점,호프-간이주점,8970,1364
20211,CS200009,C02,서비스업,C0202,의원,동물병원,886,11
20211,CS200032,C02,서비스업,C0204,기타 서비스,가전제품수리,2448,0
20211,CS200042,C02,서비스업,C0204,기타 서비스,통번역서비스,1185,4
20211,CS200046,C02,서비스업,C0204,기타 서비스,의류임대,533,2
20211,CS300001,C03,도소매업,C0301,생활소매,슈퍼마켓,12159,365
20211,CS300003,C03,도소매업,C0302,전자소매,컴퓨터및주변장치판매,10005,8
20211,CS300015,C03,도소매업,C0303,잡화소매,가방,3029,8
20211,CS300017,C03,도소매업,C0303,잡화소매,시계및귀금속,5307,70
20211,CS300027,C03,도소매업,C0303,잡화소매,섬유제품,3610,13
20211,CS100008,C01,외식업,C0101,음식(식사),분식전문점,11461,2713
20211,CS200005,C02,서비스업,C0201,학원,스포츠 강습,4642,190
20211,CS200015,C02,서비스업,C0204,기타 서비스,세무사사무소,5593,1
20211,CS200020,C02,서비스업,C0203,여가/미용,전자게임장,287,5
20211,CS200025,C02,서비스업,C0204,기타 서비스,자동차수리,4045,362
20211,CS200034,C02,서비스업,C0204,기타 서비스,여관,2739,14
20211,CS200037,C02,서비스업,C0203,여가/미용,노래방,6088,135
20211,CS200039,C02,서비스업,C0203,여가/미용,DVD방,190,0
20211,CS200040,C02,서비스업,C0204,기타 서비스,녹음실,836,3
20211,CS300002,C03,도소매업,C0301,생활소매,편의점,807,10331
20211,CS300014,C03,도소매업,C0303,잡화소매,신발,4368,46
20211,CS300020,C03,도소매업,C0303,잡화소매,서적,3820,57
20211,CS300024,C03,도소매업,C0303,잡화소매,운동/경기용품,3902,9
20211,CS300036,C03,도소매업,C0303,잡화소매,조명용품,9127,9
20212,CS100002,C01,외식업,C0101,음식(식사),중식음식점,5200,366
20212,CS100007,C01,외식업,C0101,음식(식사),치킨전문점,2425,3788
20212,CS200004,C02,서비스업,C0201,학원,컴퓨터학원,349,5
20212,CS200007,C02,서비스업,C0202,의원,치과의원,5005,2
20212,CS200011,C02,서비스업,C0204,기타 서비스,변리사사무소,768,3
20212,CS200012,C02,서비스업,C0204,기타 서비스,법무사사무소,2372,0
20212,CS200014,C02,서비스업,C0204,기타 서비스,회계사사무소,949,0
20212,CS200031,C02,서비스업,C0204,기타 서비스,세탁소,4321,1013
20212,CS200045,C02,서비스업,C0204,기타 서비스,비디오/서적임대,206,51
20212,CS300007,C03,도소매업,C0301,생활소매,육류판매,6661,24
20212,CS300012,C03,도소매업,C0303,잡화소매,한복점,536,0
20212,CS300028,C03,도소매업,C0303,잡화소매,화초,4930,6
20212,CS300029,C03,도소매업,C0303,잡화소매,애완동물,1785,43
20212,CS300030,C03,도소매업,C0303,잡화소매,중고가구,142,3
20212,CS300034,C03,도소매업,C0303,잡화소매,악기,815,1
20212,CS300039,C03,도소매업,C0302,전자소매,모터사이클및부품,641,1
20212,CS100006,C01,외식업,C0101,음식(식사),패스트푸드점,3295,2743
20212,CS200001,C02,서비스업,C0201,학원,일반교습학원,14383,1332
20212,CS200017,C02,서비스업,C0203,여가/미용,골프연습장,1496,68
20212,CS200021,C02,서비스업,C0203,여가/미용,기타오락장,1128,43
20212,CS200026,C02,서비스업,C0204,기타 서비스,자동차미용,1472,36
20212,CS200028,C02,서비스업,C0203,여가/미용,미용실,17146,1216
20212,CS200029,C02,서비스업,C0203,여가/미용,네일숍,3885,74
20212,CS200030,C02,서비스업,C0203,여가/미용,피부관리실,5441,167
20212,CS200033,C02,서비스업,C0204,기타 서비스,부동산중개업,34936,10
20212,CS200038,C02,서비스업,C0204,기타 서비스,독서실,2363,383
20212,CS200047,C02,서비스업,C0204,기타 서비스,가정용품임대,641,2
20212,CS300009,C03,도소매업,C0301,생활소매,청과상,7174,28
20212,CS300011,C03,도소매업,C0303,잡화소매,일반의류,41804,133
20212,CS300013,C03,도소매업,C0303,잡화소매,유아의류,5808,15
20212,CS300018,C03,도소매업,C0303,잡화소매,의약품,8413,511
20212,CS300022,C03,도소매업,C0303,잡화소매,화장품,16326,1211
20212,CS300033,C03,도소매업,C0302,전자소매,철물점,3031,11
20212,CS100003,C01,외식업,C0101,음식(식사),일식음식점,5958,734
20212,CS100005,C01,외식업,C0102,제과/커피,제과점,3843,1936
20212,CS200003,C02,서비스업,C0201,학원,예술학원,7214,299
20212,CS200008,C02,서비스업,C0202,의원,한의원,3771,0
20212,CS200022,C02,서비스업,C0204,기타 서비스,복권방,618,0
20212,CS300016,C03,도소매업,C0303,잡화소매,안경,1979,516
20212,CS300019,C03,도소매업,C0303,잡화소매,의료기기,2525,16
20212,CS300035,C03,도소매업,C0303,잡화소매,인테리어,5123,12
20212,CS300038,C03,도소매업,C0302,전자소매,자동차부품,3296,26
