year_code,quarter_code,commercial_district_code,commercial_district_name,facilities,bus,cultural/tourist_facilities,educational_facilities,train/subway
2023,2,3110006,부암동주민센터,3,1.0,0.0,0.0,0.0
2023,3,3110006,부암동주민센터,3,1.0,0.0,0.0,0.0
2023,1,3110007,사직공원(한국사회과학도서관),12,5.0,0.0,0.0,0.0
2023,2,3110007,사직공원(한국사회과학도서관),12,5.0,0.0,0.0,0.0
2023,3,3110007,사직공원(한국사회과학도서관),12,5.0,0.0,0.0,0.0
2023,1,3110037,신설동역 12번,17,0.0,0.0,0.0,0.0
2023,2,3110037,신설동역 12번,17,0.0,0.0,0.0,0.0
2023,3,3110037,신설동역 12번,17,0.0,0.0,0.0,0.0
2023,1,3110039,회현역 1번,5,0.0,1.0,0.0,0.0
2023,2,3110039,회현역 1번,5,0.0,1.0,0.0,0.0
2023,3,3110039,회현역 1번,5,0.0,1.0,0.0,0.0
2023,1,3110021,성균관대학교,11,2.0,0.0,1.0,0.0
2023,2,3110021,성균관대학교,11,2.0,0.0,1.0,0.0
2023,3,3110021,성균관대학교,11,2.0,0.0,1.0,0.0
2023,1,3110022,경신고등학교,10,3.0,0.0,2.0,0.0
2023,2,3110022,경신고등학교,10,3.0,0.0,2.0,0.0
2023,3,3110022,경신고등학교,10,3.0,0.0,2.0,0.0
2023,1,3110023,서울대병원,6,1.0,0.0,0.0,0.0
2023,2,3110023,서울대병원,6,1.0,0.0,0.0,0.0
2023,3,3110023,서울대병원,6,1.0,0.0,0.0,0.0
2023,1,3110024,혜회동주민센터,9,3.0,0.0,0.0,0.0
2023,2,3110024,혜회동주민센터,9,3.0,0.0,0.0,0.0
2023,3,3110024,혜회동주민센터,9,3.0,0.0,0.0,0.0
2023,1,3110025,충신시장옆,6,0.0,0.0,0.0,0.0
2023,2,3110025,충신시장옆,6,0.0,0.0,0.0,0.0
2023,3,3110025,충신시장옆,6,0.0,0.0,0.0,0.0
2023,1,3110027,혜화역 1번,6,0.0,0.0,1.0,0.0
2023,2,3110027,혜화역 1번,6,0.0,0.0,1.0,0.0
2023,3,3110027,혜화역 1번,6,0.0,0.0,1.0,0.0
2023,1,3110028,이화달팽이길,14,2.0,0.0,2.0,0.0
2023,2,3110028,이화달팽이길,14,2.0,0.0,2.0,0.0
2023,3,3110028,이화달팽이길,14,2.0,0.0,2.0,0.0
2023,1,3110029,동대문역 1번,17,0.0,0.0,0.0,0.0
2023,2,3110029,동대문역 1번,17,0.0,0.0,0.0,0.0
2023,3,3110029,동대문역 1번,17,0.0,0.0,0.0,0.0
2023,1,3110030,동대문역 3번,4,0.0,0.0,0.0,0.0
2023,2,3110030,동대문역 3번,4,0.0,0.0,0.0,0.0
2023,3,3110030,동대문역 3번,4,0.0,0.0,0.0,0.0
2023,1,3110031,창신역 1번,12,4.0,0.0,0.0,1.0
2023,2,3110031,창신역 1번,12,4.0,0.0,0.0,1.0
2023,3,3110031,창신역 1번,12,4.0,0.0,0.0,1.0
2023,1,3110033,창신역 4번,13,4.0,0.0,0.0,0.0
2023,2,3110033,창신역 4번,13,4.0,0.0,0.0,0.0
2023,3,3110033,창신역 4번,13,4.0,0.0,0.0,0.0
2023,1,3110057,황학코아루아파트,14,2.0,0.0,0.0,0.0
2023,2,3110057,황학코아루아파트,14,2.0,0.0,0.0,0.0
2023,3,3110057,황학코아루아파트,14,2.0,0.0,0.0,0.0
2023,1,3110058,성심여자고등학교,18,7.0,0.0,0.0,0.0
2023,2,3110058,성심여자고등학교,18,7.0,0.0,0.0,0.0
2023,3,3110058,성심여자고등학교,18,7.0,0.0,0.0,0.0
2023,1,3110059,새남터성지,10,2.0,0.0,0.0,0.0
2023,2,3110059,새남터성지,10,2.0,0.0,0.0,0.0
2023,3,3110059,새남터성지,10,2.0,0.0,0.0,0.0
2023,1,3110036,동묘앞역 3번,3,0.0,0.0,0.0,0.0
2023,2,3110036,동묘앞역 3번,3,0.0,0.0,0.0,0.0
2023,3,3110036,동묘앞역 3번,3,0.0,0.0,0.0,0.0
2023,1,3110040,중구회현체육센터(정화예술대남산캠퍼스),10,0.0,0.0,2.0,0.0
2023,2,3110040,중구회현체육센터(정화예술대남산캠퍼스),10,0.0,0.0,2.0,0.0
2023,3,3110040,중구회현체육센터(정화예술대남산캠퍼스),10,0.0,0.0,2.0,0.0
2023,1,3110041,남산케이블카,12,2.0,2.0,1.0,0.0
2023,2,3110041,남산케이블카,12,2.0,2.0,1.0,0.0
2023,3,3110041,남산케이블카,12,2.0,2.0,1.0,0.0
2023,1,3110042,남산골공원옆,3,0.0,0.0,0.0,0.0
2023,2,3110042,남산골공원옆,3,0.0,0.0,0.0,0.0
2023,3,3110042,남산골공원옆,3,0.0,0.0,0.0,0.0
2023,1,3110043,충무초등학교,19,4.0,0.0,1.0,0.0
2023,2,3110043,충무초등학교,19,4.0,0.0,1.0,0.0
2023,3,3110043,충무초등학교,19,4.0,0.0,1.0,0.0
2023,1,3110045,동대문역사문화공원역 5번,8,1.0,1.0,0.0,0.0
2023,2,3110045,동대문역사문화공원역 5번,8,1.0,1.0,0.0,0.0
2023,3,3110045,동대문역사문화공원역 5번,8,1.0,1.0,0.0,0.0
2023,1,3110047,다산성곽길,5,0.0,0.0,0.0,0.0
2023,2,3110047,다산성곽길,5,0.0,0.0,0.0,0.0
2023,3,3110047,다산성곽길,5,0.0,0.0,0.0,0.0
2023,1,3110048,장충동주민센터,12,0.0,0.0,0.0,0.0
2023,2,3110048,장충동주민센터,12,0.0,0.0,0.0,0.0
2023,3,3110048,장충동주민센터,12,0.0,0.0,0.0,0.0
2023,1,3110049,장충단 고개,6,1.0,0.0,0.0,0.0
2023,2,3110049,장충단 고개,6,1.0,0.0,0.0,0.0
2023,3,3110049,장충단 고개,6,1.0,0.0,0.0,0.0
2023,1,3110053,청구역 1번,8,0.0,0.0,0.0,0.0
2023,2,3110053,청구역 1번,8,0.0,0.0,0.0,0.0
2023,3,3110053,청구역 1번,8,0.0,0.0,0.0,0.0
2023,1,3110054,청구역 3번,5,0.0,0.0,0.0,0.0
2023,2,3110054,청구역 3번,5,0.0,0.0,0.0,0.0
2023,3,3110054,청구역 3번,5,0.0,0.0,0.0,0.0
2023,1,3110055,황학동벼룩시장,5,1.0,0.0,0.0,0.0
2023,2,3110055,황학동벼룩시장,5,1.0,0.0,0.0,0.0
2023,3,3110055,황학동벼룩시장,5,1.0,0.0,0.0,0.0
2023,1,3110056,신당역 3번,28,4.0,0.0,1.0,0.0
2023,2,3110056,신당역 3번,28,4.0,0.0,1.0,0.0
2023,3,3110056,신당역 3번,28,4.0,0.0,1.0,0.0
2023,1,3110079,후암동주민센터,30,4.0,0.0,1.0,0.0
2023,2,3110079,후암동주민센터,30,4.0,0.0,1.0,0.0
2023,3,3110079,후암동주민센터,30,4.0,0.0,1.0,0.0
2023,1,3110080,해방촌예술마을,18,4.0,0.0,0.0,0.0
2023,2,3110080,해방촌예술마을,18,4.0,0.0,0.0,0.0
2023,3,3110080,해방촌예술마을,18,4.0,0.0,0.0,0.0
2023,1,3110081,해방촌 남동측,20,10.0,0.0,0.0,0.0
2023,2,3110081,해방촌 남동측,20,10.0,0.0,0.0,0.0
2023,3,3110081,해방촌 남동측,20,10.0,0.0,0.0,0.0
2023,1,3110050,약수역 7번,14,5.0,0.0,1.0,0.0
2023,2,3110050,약수역 7번,14,5.0,0.0,1.0,0.0
2023,3,3110050,약수역 7번,14,5.0,0.0,1.0,0.0
2023,1,3110051,한양공고앞 교차로,2,0.0,0.0,0.0,0.0
2023,2,3110051,한양공고앞 교차로,2,0.0,0.0,0.0,0.0
2023,3,3110051,한양공고앞 교차로,2,0.0,0.0,0.0,0.0
2023,1,3110052,장충초등학교,16,1.0,1.0,0.0,0.0
2023,2,3110052,장충초등학교,16,1.0,1.0,0.0,0.0
2023,3,3110052,장충초등학교,16,1.0,1.0,0.0,0.0
2023,1,3110060,효창공원앞역 6번,14,6.0,0.0,0.0,0.0
2023,2,3110060,효창공원앞역 6번,14,6.0,0.0,0.0,0.0
2023,3,3110060,효창공원앞역 6번,14,6.0,0.0,0.0,0.0
2023,1,3110061,효창동주민센터,19,7.0,0.0,2.0,0.0
2023,2,3110061,효창동주민센터,19,7.0,0.0,2.0,0.0
2023,3,3110061,효창동주민센터,19,7.0,0.0,2.0,0.0
2023,1,3110062,한강로동땡땡거리(은행나무길),25,3.0,1.0,0.0,0.0
2023,2,3110062,한강로동땡땡거리(은행나무길),25,3.0,1.0,0.0,0.0
2023,3,3110062,한강로동땡땡거리(은행나무길),25,3.0,1.0,0.0,0.0
2023,1,3110063,효창공원앞역 5번,20,3.0,0.0,0.0,0.0
2023,2,3110063,효창공원앞역 5번,20,3.0,0.0,0.0,0.0
2023,3,3110063,효창공원앞역 5번,20,3.0,0.0,0.0,0.0
2023,1,3110064,효창공원앞역 2번,21,4.0,0.0,7.0,0.0
2023,2,3110064,효창공원앞역 2번,21,4.0,0.0,7.0,0.0
2023,3,3110064,효창공원앞역 2번,21,4.0,0.0,7.0,0.0
2023,1,3110082,용산구청,10,1.0,0.0,0.0,0.0
2023,2,3110082,용산구청,10,1.0,0.0,0.0,0.0
2023,3,3110082,용산구청,10,1.0,0.0,0.0,0.0
2023,1,3110083,서빙고역 1번,3,2.0,0.0,0.0,0.0
2023,2,3110083,서빙고역 1번,3,2.0,0.0,0.0,0.0
2023,3,3110083,서빙고역 1번,3,2.0,0.0,0.0,0.0
2023,1,3110084,경리단길북측,24,9.0,0.0,1.0,0.0
2023,2,3110084,경리단길북측,24,9.0,0.0,1.0,0.0
2023,3,3110084,경리단길북측,24,9.0,0.0,1.0,0.0
2023,1,3110085,경리단길남측,28,10.0,0.0,1.0,0.0
2023,2,3110085,경리단길남측,28,10.0,0.0,1.0,0.0
2023,3,3110085,경리단길남측,28,10.0,0.0,1.0,0.0
2023,1,3110065,남정초등학교,4,4.0,0.0,0.0,0.0
2023,2,3110065,남정초등학교,4,4.0,0.0,0.0,0.0
2023,3,3110065,남정초등학교,4,4.0,0.0,0.0,0.0
2023,1,3110066,서울역 15번,14,4.0,0.0,0.0,0.0
2023,2,3110066,서울역 15번,14,4.0,0.0,0.0,0.0
2023,3,3110066,서울역 15번,14,4.0,0.0,0.0,0.0
2023,1,3110067,배문고등학교,16,2.0,0.0,2.0,0.0
2023,2,3110067,배문고등학교,16,2.0,0.0,2.0,0.0
2023,3,3110067,배문고등학교,16,2.0,0.0,2.0,0.0
2023,1,3110068,남영역 1번,23,3.0,0.0,6.0,0.0
2023,2,3110068,남영역 1번,23,3.0,0.0,6.0,0.0
2023,3,3110068,남영역 1번,23,3.0,0.0,6.0,0.0
2023,1,3110069,숙대입구,29,7.0,1.0,3.0,0.0
2023,2,3110069,숙대입구,29,7.0,1.0,3.0,0.0
2023,3,3110069,숙대입구,29,7.0,1.0,3.0,0.0
2023,1,3110070,용산세무서,1,0.0,0.0,0.0,0.0
2023,2,3110070,용산세무서,1,0.0,0.0,0.0,0.0
2023,3,3110070,용산세무서,1,0.0,0.0,0.0,0.0
2023,1,3110071,한강미주맨션아파트,12,1.0,0.0,0.0,0.0
2023,2,3110071,한강미주맨션아파트,12,1.0,0.0,0.0,0.0
2023,3,3110071,한강미주맨션아파트,12,1.0,0.0,0.0,0.0
2023,1,3110073,삼각지역 3번,5,0.0,0.0,0.0,0.0
2023,2,3110073,삼각지역 3번,5,0.0,0.0,0.0,0.0
2023,3,3110073,삼각지역 3번,5,0.0,0.0,0.0,0.0
2023,1,3110074,서울역 12번,33,2.0,11.0,0.0,0.0
2023,2,3110074,서울역 12번,33,2.0,11.0,0.0,0.0
2023,3,3110074,서울역 12번,33,2.0,11.0,0.0,0.0
2023,1,3110075,숙대입구역 1번,16,4.0,0.0,2.0,0.0
2023,2,3110075,숙대입구역 1번,16,4.0,0.0,2.0,0.0
2023,3,3110075,숙대입구역 1번,16,4.0,0.0,2.0,0.0
2023,1,3110077,삼광초등학교,7,1.0,0.0,0.0,0.0
2023,2,3110077,삼광초등학교,7,1.0,0.0,0.0,0.0
2023,3,3110077,삼광초등학교,7,1.0,0.0,0.0,0.0
2023,1,3110078,이촌동점보아파트,9,1.0,0.0,0.0,0.0
2023,2,3110078,이촌동점보아파트,9,1.0,0.0,0.0,0.0
2023,3,3110078,이촌동점보아파트,9,1.0,0.0,0.0,0.0
2023,1,3110110,상왕십리역 6번,10,2.0,0.0,0.0,1.0
2023,2,3110110,상왕십리역 6번,10,2.0,0.0,0.0,1.0
2023,3,3110110,상왕십리역 6번,10,2.0,0.0,0.0,1.0
2023,1,3110087,이태원엔틱가구거리,3,0.0,0.0,0.0,0.0
2023,2,3110087,이태원엔틱가구거리,3,0.0,0.0,0.0,0.0
2023,3,3110087,이태원엔틱가구거리,3,0.0,0.0,0.0,0.0
2023,1,3110088,오산고등학교,10,1.0,0.0,0.0,0.0
2023,2,3110088,오산고등학교,10,1.0,0.0,0.0,0.0
2023,3,3110088,오산고등학교,10,1.0,0.0,0.0,0.0
2023,1,3110089,서빙고동주민센터,5,2.0,0.0,0.0,0.0
2023,2,3110089,서빙고동주민센터,5,2.0,0.0,0.0,0.0
2023,3,3110089,서빙고동주민센터,5,2.0,0.0,0.0,0.0
2023,1,3110090,한국폴리텍대학서울정수캠퍼스,9,1.0,0.0,0.0,0.0
2023,2,3110090,한국폴리텍대학서울정수캠퍼스,9,1.0,0.0,0.0,0.0
2023,3,3110090,한국폴리텍대학서울정수캠퍼스,9,1.0,0.0,0.0,0.0
2023,1,3110092,NH농협은행 보광동지점,15,1.0,0.0,1.0,0.0
