year_code,quarter_code,commercial_district_code,total_working_population_now,total_working_population_previous,working_population_diff
2022,1,3110702,131,131,0
2022,1,3110699,136,136,0
2022,1,3110712,233,233,0
2022,1,3110720,228,228,0
2022,1,3110745,251,251,0
2022,1,3110755,193,193,0
2022,1,3110778,1596,1596,0
2022,1,3110771,955,955,0
2022,1,3110768,294,294,0
2022,1,3110818,20,20,0
2022,1,3110856,538,538,0
2022,1,3110874,46,46,0
2022,1,3110879,17,17,0
2022,1,3110885,339,339,0
2022,1,3110858,66,66,0
2022,1,3110872,279,279,0
2022,1,3110855,429,429,0
2022,1,3110947,112,112,0
2022,1,3110913,3293,3293,0
2022,1,3110934,994,994,0
2022,1,3110955,3430,3430,0
2022,1,3110992,2179,2179,0
2022,1,3110999,268,268,0
2022,1,3110967,377,377,0
2022,1,3110972,2628,2628,0
2022,1,3110969,1546,1546,0
2022,1,3111021,7683,7683,0
2022,1,3111008,1551,1551,0
2022,1,3111015,1352,1352,0
2022,1,3111016,3803,3803,0
2022,1,3111038,416,416,0
2022,1,3111011,9608,9608,0
2022,1,3111003,1996,1996,0
2022,1,3111088,123,123,0
2022,1,3111071,76,76,0
2022,1,3111079,377,377,0
2022,1,3111062,751,751,0
2022,1,3111066,417,417,0
2022,1,3111052,357,357,0
2022,1,3111069,79,79,0
2022,1,3110003,607,607,0
2022,1,3110049,2303,2303,0
2022,1,3110041,967,967,0
2022,1,3110054,1542,1542,0
2022,1,3110080,311,311,0
2022,1,3110065,137,137,0
2022,1,3110579,750,750,0
2022,1,3110123,511,511,0
2022,1,3110121,45,45,0
2022,1,3110127,290,290,0
2022,1,3110114,33,33,0
2022,1,3110174,432,432,0
2022,1,3110140,429,429,0
2022,1,3110152,340,340,0
2022,1,3110161,236,236,0
2022,1,3110141,213,213,0
2022,1,3110144,104,104,0
2022,1,3110209,83,83,0
2022,1,3110186,114,114,0
2022,1,3110221,95,95,0
2022,1,3110206,92,92,0
2022,1,3110199,65,65,0
2022,1,3110219,251,251,0
2022,1,3110268,60,60,0
2022,1,3110237,274,274,0
2022,1,3110258,260,260,0
2022,1,3110254,259,259,0
2022,1,3110264,358,358,0
2022,1,3110248,85,85,0
2022,1,3110245,156,156,0
2022,1,3110308,174,174,0
2022,1,3110300,2735,2735,0
2022,1,3110301,484,484,0
2022,1,3110328,235,235,0
2022,1,3110323,109,109,0
2022,1,3110325,57,57,0
2022,1,3110329,34,34,0
2022,1,3110418,100,100,0
2022,1,3110292,33,33,0
2022,1,3110289,144,144,0
2022,1,3110320,79,79,0
2022,1,3110369,518,518,0
2022,1,3110376,224,224,0
2022,1,3110362,205,205,0
2022,1,3110356,228,228,0
2022,1,3110343,100,100,0
2022,1,3110351,214,214,0
2022,1,3110413,54,54,0
2022,1,3110382,32,32,0
2022,1,3110422,277,277,0
2022,1,3110417,19,19,0
2022,1,3110441,138,138,0
2022,1,3110427,363,363,0
2022,1,3110477,434,434,0
2022,1,3110476,56,56,0
2022,1,3110499,263,263,0
2022,1,3110503,230,230,0
2022,1,3110533,22,22,0
2022,1,3110537,1514,1514,0
2022,1,3110522,46,46,0
2022,1,3110541,377,377,0
2022,1,3110555,284,284,0
2022,1,3110558,2362,2362,0
2022,1,3110571,635,635,0
2022,1,3110628,469,469,0
2022,1,3110627,548,548,0
2022,1,3110612,644,644,0
2022,1,3110629,190,190,0
2022,1,3110679,574,574,0
2022,1,3110649,358,358,0
2022,1,3110670,489,489,0
2022,1,3110666,176,176,0
2022,1,3110700,3249,3249,0
2022,1,3110689,287,287,0
2022,1,3110690,577,577,0
2022,1,3110725,85,85,0
2022,1,3110735,520,520,0
2022,1,3110736,461,461,0
2022,1,3110746,76,76,0
2022,1,3110766,360,360,0
2022,1,3110777,282,282,0
2022,1,3110788,28,28,0
2022,1,3110783,292,292,0
2022,1,3110799,119,119,0
2022,1,3110821,599,599,0
2022,1,3110836,3057,3057,0
2022,1,3110840,175,175,0
2022,1,3110878,368,368,0
2022,1,3110861,1168,1168,0
2022,1,3110893,353,353,0
2022,1,3110890,249,249,0
2022,1,3110936,832,832,0
2022,1,3110940,956,956,0
2022,1,3110983,783,783,0
2022,1,3110995,5085,5085,0
2022,1,3111001,58,58,0
2022,1,3110949,1683,1683,0
2022,1,3110959,271,271,0
2022,1,3110954,636,636,0
2022,1,3110997,1724,1724,0
2022,1,3110979,3004,3004,0
2022,1,3111027,1393,1393,0
2022,1,3111020,304,304,0
2022,1,3111005,1865,1865,0
2022,1,3111037,373,373,0
2022,1,3111032,3878,3878,0
2022,1,3111089,750,750,0
2022,1,3111059,774,774,0
2022,1,3111067,746,746,0
2022,1,3110005,1057,1057,0
2022,1,3110008,507,507,0
2022,1,3110035,276,276,0
2022,1,3110027,598,598,0
2022,1,3110030,7,7,0
2022,1,3110024,928,928,0
2022,1,3110045,234,234,0
2022,1,3110043,1202,1202,0
2022,1,3110057,64,64,0
2022,1,3110055,29,29,0
2022,1,3110078,69,69,0
2022,1,3110082,1618,1618,0
2022,1,3110073,7975,7975,0
2022,1,3110099,12646,12646,0
2022,1,3110588,169,169,0
2022,1,3110107,37,37,0
2022,1,3110117,103,103,0
2022,1,3110113,77,77,0
2022,1,3110112,207,207,0
2022,1,3110169,253,253,0
2022,1,3110156,621,621,0
2022,1,3110157,1097,1097,0
2022,1,3110163,284,284,0
2022,1,3110168,524,524,0
2022,1,3110212,204,204,0
2022,1,3110187,3124,3124,0
2022,1,3110229,1332,1332,0
2022,1,3110194,112,112,0
2022,1,3110203,99,99,0
2022,1,3110278,276,276,0
2022,1,3110246,431,431,0
2022,1,3110261,167,167,0
2022,1,3110242,164,164,0
2022,1,3110241,415,415,0
2022,1,3110233,142,142,0
2022,1,3110281,13818,13818,0
2022,1,3110309,376,376,0
2022,1,3110318,148,148,0
2022,1,3110379,12,12,0
2022,1,3110373,891,891,0
2022,1,3110377,21,21,0
2022,1,3110345,114,114,0
2022,1,3110342,60,60,0
2022,1,3110348,343,343,0
2022,1,3110402,471,471,0
2022,1,3110383,33,33,0
2022,1,3110392,43,43,0
2022,1,3110416,468,468,0
2022,1,3110428,491,491,0
2022,1,3110464,301,301,0
2022,1,3110457,482,482,0
2022,1,3110485,1259,1259,0
2022,1,3110488,174,174,0
2022,1,3110449,709,709,0
2022,1,3110523,21,21,0
2022,1,3110586,1855,1855,0
