year_code,quarter_code,commercial_district_code,commercial_district_name,monthly_sales_now,monthly_sales_previous
2022,4,3110500,남가좌동현대아파트,858704155.0,737968396.0
2022,4,3110501,연희어린이공원,507405830.0,417655658.0
2022,4,3110502,남가좌파출소,11980548339.0,8286303821.0
2022,4,3110503,명지대학교교회,6003945752.0,3693556517.0
2022,4,3110505,홍남교남측,398061749.0,359261019.0
2022,4,3110506,연희임광아파트,115878607.0,79734669.0
2022,4,3110507,명지대학교,11131877144.0,9232136405.0
2022,4,3110508,서연중학교,1379905557.0,837347472.0
2022,4,3110509,연희대우아파트앞,4353795768.0,3377620595.0
2022,4,3110510,홍연시장,1932579010.0,1998426231.0
2022,4,3110511,연희초등학교,1752723666.0,1168593845.0
2022,4,3110512,연희지하차도,838452472.0,932918314.0
2022,4,3110513,연희파출소,2491008413.0,2097941428.0
2022,4,3110514,서대문우체국,310690373.0,302636391.0
2022,4,3110517,서대문소방서,1437247505.0,1469855577.0
2022,4,3110519,서대문구보건소별관,1927631442.0,1652256995.0
2022,4,3110520,경의중앙 신촌역,3344265935.0,2638896043.0
2022,4,3110521,홍제역 4번,1621070151.0,1835439826.0
2022,4,3110522,홍제역 3번,257674109.0,264270049.0
2022,4,3110523,홍제성원아파트,55050071.0,37264998.0
2022,4,3110524,연희세브란스병원,3415452123.0,1950265739.0
2022,4,3110525,홍은종합사회복지관,4082852559.0,3991042057.0
2022,4,3110526,봉원사,1748291984.0,1936875242.0
2022,4,3110527,홍제역 2번,1409616233.0,1087087989.0
2022,4,3110528,서울여자간호대학교,613808315.0,568586813.0
2022,4,3110529,홍제3동주민센터,3818361154.0,3410746353.0
2022,4,3110532,아현역 2번,5768951792.0,5061028930.0
2022,4,3110533,충정로역 7번,34804425.0,167373565.0
2022,4,3110534,경기대학교,3696566.0,242169505.0
2022,4,3110535,영천시장입구,549552162.0,604356596.0
2022,4,3110536,돈의문센트레빌아파트입구,725499862.0,445435968.0
2022,4,3110537,충정로현대아파트,1819350886.0,1745129367.0
2022,4,3110538,충정로역 3번,1337063620.0,1202383762.0
2022,4,3110539,미근동,3617654786.0,3678642126.0
2022,4,3110540,망원나들목체육관,317856237.0,158048423.0
2022,4,3110541,동교초등학교,5201866533.0,5263119070.0
2022,4,3110542,마포구청역 7번,3192756749.0,3409484287.0
2022,4,3110543,중암중학교,7615796.0,12345485.0
2022,4,3110544,망리단길,20362112369.0,18870487634.0
2022,4,3110545,마포구청역 1번,8582082785.0,7835000844.0
2022,4,3110546,양화대교북단,1536337776.0,1890612195.0
2022,4,3110547,KB국민은행 망원동지점,4163379714.0,3544315524.0
2022,4,3110548,마포구청역 4번,1963384424.0,1365679692.0
2022,4,3110549,새터산,1666117722.0,1691461462.0
2022,4,3110550,합정역 8번,12606745141.0,9656782913.0
2022,4,3110551,성서초등학교,2630730648.0,2743209249.0
2022,4,3110552,성미산체육관,7023454784.0,7071589228.0
2022,4,3110553,가좌역 2번,880323103.0,825636748.0
2022,4,3110554,망원역 1번,2843570456.0,2340548854.0
2022,4,3110555,홍익지구대,1037171373.0,852694419.0
2022,4,3110557,홍대부속여중고앞,3878062134.0,3099716699.0
2022,4,3110558,경성고등학교,12816664644.0,11224764269.0
2022,4,3110559,성산중학교,9551964133.0,8893975561.0
2022,4,3110560,마포FM,630187841.0,340028483.0
2022,4,3110561,상수역 4번,3481000524.0,3152055435.0
2022,4,3110562,연트럴파크(연남동주민센터),2873266737.0,2409240522.0
2022,4,3110563,상수역 3번,596861141.0,544410316.0
2022,4,3110564,홍대입구역 3번,10358626968.0,10427102519.0
2022,4,3110565,홍익대,2845590364.0,2623654626.0
