기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20232,A,골목상권,3110634,송정역 3번,CS100001,한식음식점,1993106982,55383,1524469343,468637639,284297287,250309724,329084403,344820111,315957818,278245575,190392064,58120429,55495993,402609073,164494207,909092772,403294508,1192036728,468801223,4001299,152048842,364895929,353999010,432439632,353453236,43501,11882,8702,7441,9283,8993,9082,7058,4824,953,2987,18647,6005,20188,6603,35231,15143,295,4495,9964,10677,12995,11950
20232,A,골목상권,3110634,송정역 3번,CS100003,일식음식점,32930219,415,21545268,11384951,2086030,9132869,1442578,2625700,6258091,1037826,10347125,8489417,529291,0,3881469,3538987,16491055,21887751,11042468,0,5946742,7275160,12983205,5386317,1338795,228,187,21,62,31,41,73,30,157,124,10,0,10,41,230,332,83,0,52,115,165,63,20
20232,A,골목상권,3110634,송정역 3번,CS100007,치킨전문점,186047248,5053,154679378,31367870,28783320,30674410,26118379,33866083,35237186,25242063,6125807,8449811,0,5135498,10353778,81554723,80553438,113600907,48648287,1082900,25079629,50388531,39532608,29425947,16739579,3905,1148,734,724,668,760,1019,884,264,283,0,86,375,2384,1925,3097,1692,55,865,1416,993,896,565
20232,A,골목상권,3110634,송정역 3번,CS100008,분식전문점,422987034,44157,309286915,113700119,50557134,55944833,68891014,62173565,71720369,68163768,45536351,0,37183099,95349112,65599195,166730306,58125322,203898523,199824650,10866492,77240574,113315259,89071413,75883095,37346341,33215,10942,6134,6545,6630,6752,7154,6996,3946,0,2896,10302,7399,17293,6267,21615,22035,971,8465,13344,9230,7378,4260
20232,A,골목상권,3110634,송정역 3번,CS100009,호프-간이주점,294728883,6820,213902733,80826150,37202278,47392826,40160194,39347783,49799652,45147910,35678240,98523691,0,0,890709,63479514,131834969,204920849,72046116,3329168,63763199,93223166,53933068,43041502,19676864,4789,2031,940,936,949,888,1076,1105,926,2324,0,0,25,1489,2982,4799,1886,73,1731,2235,1243,888,514
20232,A,골목상권,3110634,송정역 3번,CS100010,커피-음료,31954465,3827,22359955,9594510,4779952,5097821,3587042,5102897,3792243,5673596,3920914,0,4232271,10195431,7946479,9434386,145898,14224644,17729821,159490,6123611,9252361,6149180,5041502,5228321,2683,1144,549,581,506,538,509,757,387,0,671,1088,1010,1046,12,1759,2068,22,758,1236,748,622,441
20232,A,골목상권,3110635,공항시장역 3번,CS100001,한식음식점,374139628,17222,278359874,95779754,61997699,55492353,44132295,56603893,60133634,41016267,54763487,11247458,6814564,109403105,41233769,130774503,74666229,199417702,122003315,2775813,35906850,87114208,65321341,77918483,52384321,13016,4206,2818,2710,2276,2534,2678,1868,2338,328,123,6444,2260,6412,1655,10097,5485,149,2001,4047,2963,3827,2595
20232,A,골목상권,3110636,방화역 2번,CS100001,한식음식점,1015530164,32646,674584050,340946114,141524026,135225796,118824490,128474699,150535039,163232270,177713844,0,17319084,366404559,146062327,401900286,83843908,565444791,343059450,2418901,38822558,105898810,162024239,258612427,340727306,22934,9712,4946,4511,3984,4362,5131,4596,5116,0,811,12364,5299,12348,1824,18772,11737,126,1264,3455,5162,8466,12036
20232,A,골목상권,3110636,방화역 2번,CS100006,패스트푸드점,206861996,21113,137826282,69035714,31892378,23634995,24158390,25473433,32667086,35001209,34034505,0,13872630,55745022,46623984,68247964,22372396,106163490,89437537,8125083,25936554,43225709,52124453,37156495,29032732,14529,6584,3209,2580,2643,2835,3262,3487,3097,0,1227,5450,4862,7278,2296,10771,9881,1349,3086,4866,5035,3632,2683
20232,A,골목상권,3110636,방화역 2번,CS100010,커피-음료,109969095,16148,76119638,33849457,18487397,12103419,13418123,13297907,18812792,12610634,21238823,0,14638175,33932223,38097317,21111399,2189981,63760328,42438410,2683091,10180695,19378764,18970699,36342289,18643200,11491,4657,2186,2203,2327,2248,2527,2303,2354,0,2495,5101,4375,3694,483,8507,7383,623,2270,4176,3839,2708,2271
