기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
20231,A,골목상권,3110064,효창공원앞역 2번,21,,1,,,1,,,,,7,,,,,,,,,4
20232,A,골목상권,3110064,효창공원앞역 2번,21,,1,,,1,,,,,7,,,,,,,,,4
20233,A,골목상권,3110064,효창공원앞역 2번,21,,1,,,1,,,,,7,,,,,,,,,4
20231,A,골목상권,3110082,용산구청,10,3,1,,,1,,,,,,,,,,,,,,1
20232,A,골목상권,3110082,용산구청,10,3,1,,,1,,,,,,,,,,,,,,1
20233,A,골목상권,3110082,용산구청,10,3,1,,,1,,,,,,,,,,,,,,1
20231,A,골목상권,3110083,서빙고역 1번,3,,,,,,,,,,,,,,,,,,,2
20232,A,골목상권,3110083,서빙고역 1번,3,,,,,,,,,,,,,,,,,,,2
20233,A,골목상권,3110083,서빙고역 1번,3,,,,,,,,,,,,,,,,,,,2
20231,A,골목상권,3110084,경리단길북측,24,2,1,,,2,1,,,,,,,,,,,,,9
20232,A,골목상권,3110084,경리단길북측,24,2,1,,,2,1,,,,,,,,,,,,,9
20233,A,골목상권,3110084,경리단길북측,24,2,1,,,2,1,,,,,,,,,,,,,9
20231,A,골목상권,3110085,경리단길남측,28,5,4,,,1,,,,1,,,,,,,,,,10
20232,A,골목상권,3110085,경리단길남측,28,5,4,,,1,,,,1,,,,,,,,,,10
20233,A,골목상권,3110085,경리단길남측,28,5,4,,,1,,,,1,,,,,,,,,,10
20231,A,골목상권,3110086,이태원역 북측,5,3,,,,,,,,,,,,,,,,,,
20232,A,골목상권,3110086,이태원역 북측,5,3,,,,,,,,,,,,,,,,,,
20233,A,골목상권,3110086,이태원역 북측,5,3,,,,,,,,,,,,,,,,,,
20231,A,골목상권,3110065,남정초등학교,4,,,,,,,,,,,,,,,,,,,4
20232,A,골목상권,3110065,남정초등학교,4,,,,,,,,,,,,,,,,,,,4
