year_code,quarter_code,commercial_district_code,commercial_district_name,apartment_complexes,household_under_20_pyeong,household_20_to_30_pyeong,household_30_to_40_pyeong,household_40_to_50_pyeong,household_over_50_pyeong,household_less_than_100_million_price,household_100_million_to_200_million_price,household_200_million_to_300_million_price,household_300_million_to_400_million_price,household_400_million_to_500_million_price,household_500_million_to_600_million_price,household_over_than_600_million_price,apartment_avg_area,apartment_avg_price
2023,3,3110331,돌곶이역 8번,56,362.0,21.0,0.0,0.0,0.0,100.0,225.0,58.0,0.0,0.0,0.0,0.0,42,123584730
2023,1,3110332,돌곶이역 3번,5,38.0,12.0,1.0,0.0,0.0,7.0,31.0,1.0,12.0,0.0,0.0,0.0,56,185828207
2023,2,3110332,돌곶이역 3번,5,38.0,12.0,1.0,0.0,0.0,7.0,31.0,1.0,12.0,0.0,0.0,0.0,56,185828207
2023,3,3110332,돌곶이역 3번,5,38.0,12.0,1.0,0.0,0.0,7.0,31.0,1.0,12.0,0.0,0.0,0.0,56,185828207
2023,1,3110333,돌곶이역 5번,30,203.0,27.0,2.0,0.0,0.0,46.0,142.0,42.0,1.0,1.0,0.0,0.0,48,147068921
2023,2,3110333,돌곶이역 5번,30,203.0,27.0,2.0,0.0,0.0,46.0,142.0,42.0,1.0,1.0,0.0,0.0,48,147068921
2023,3,3110333,돌곶이역 5번,30,203.0,27.0,2.0,0.0,0.0,46.0,142.0,42.0,1.0,1.0,0.0,0.0,48,147068921
2023,1,3110334,석관중앙교회,10,74.0,10.0,0.0,0.0,0.0,5.0,63.0,16.0,0.0,0.0,0.0,0.0,51,161896970
2023,2,3110334,석관중앙교회,10,74.0,10.0,0.0,0.0,0.0,5.0,63.0,16.0,0.0,0.0,0.0,0.0,51,161896970
2023,3,3110334,석관중앙교회,10,74.0,10.0,0.0,0.0,0.0,5.0,63.0,16.0,0.0,0.0,0.0,0.0,51,161896970
2023,1,3110335,석계역 7번,64,439.0,55.0,2.0,0.0,0.0,38.0,351.0,107.0,0.0,0.0,0.0,0.0,51,159893453
2023,2,3110335,석계역 7번,64,439.0,55.0,2.0,0.0,0.0,38.0,351.0,107.0,0.0,0.0,0.0,0.0,51,159893453
2023,3,3110335,석계역 7번,64,439.0,55.0,2.0,0.0,0.0,38.0,351.0,107.0,0.0,0.0,0.0,0.0,51,159893453
2023,1,3110336,석관고등학교,31,253.0,27.0,0.0,0.0,0.0,3.0,204.0,69.0,4.0,0.0,0.0,0.0,53,176711728
2023,2,3110336,석관고등학교,31,253.0,27.0,0.0,0.0,0.0,3.0,204.0,69.0,4.0,0.0,0.0,0.0,53,176711728
2023,3,3110336,석관고등학교,31,253.0,27.0,0.0,0.0,0.0,3.0,204.0,69.0,4.0,0.0,0.0,0.0,53,176711728
2023,1,3110337,아카데미하우스,75,500.0,135.0,12.0,34.0,3.0,164.0,402.0,68.0,47.0,3.0,0.0,0.0,64,167324107
2023,2,3110337,아카데미하우스,75,500.0,135.0,12.0,34.0,3.0,164.0,402.0,68.0,47.0,3.0,0.0,0.0,64,167324107
2023,3,3110337,아카데미하우스,75,500.0,135.0,12.0,34.0,3.0,164.0,402.0,68.0,47.0,3.0,0.0,0.0,64,167324107
2023,1,3110340,인수중학교,33,219.0,52.0,2.0,10.0,0.0,119.0,153.0,3.0,8.0,0.0,0.0,0.0,56,116540113
2023,1,3110341,북한산우이역 2번,86,423.0,195.0,68.0,16.0,7.0,165.0,436.0,99.0,8.0,1.0,0.0,0.0,68,143911723
2023,2,3110017,정독도서관,10,15.0,15.0,1.0,0.0,22.0,6.0,10.0,8.0,7.0,0.0,0.0,22.0,164,1153964394
2023,2,3110341,북한산우이역 2번,86,423.0,195.0,68.0,16.0,7.0,165.0,436.0,99.0,8.0,1.0,0.0,0.0,68,143911723
2023,3,3110341,북한산우이역 2번,86,423.0,195.0,68.0,16.0,7.0,165.0,436.0,99.0,8.0,1.0,0.0,0.0,68,143911723
2023,1,3110342,국립재활원,71,580.0,63.0,14.0,0.0,0.0,157.0,483.0,17.0,0.0,0.0,0.0,0.0,53,127018224
2023,2,3110342,국립재활원,71,580.0,63.0,14.0,0.0,0.0,157.0,483.0,17.0,0.0,0.0,0.0,0.0,53,127018224
2023,3,3110342,국립재활원,71,580.0,63.0,14.0,0.0,0.0,157.0,483.0,17.0,0.0,0.0,0.0,0.0,53,127018224
2023,1,3110343,무너미어린이공원,123,1054.0,99.0,3.0,0.0,0.0,122.0,999.0,34.0,1.0,0.0,0.0,0.0,52,143376585
2023,2,3110343,무너미어린이공원,123,1054.0,99.0,3.0,0.0,0.0,122.0,999.0,34.0,1.0,0.0,0.0,0.0,52,143376585
2023,3,3110343,무너미어린이공원,123,1054.0,99.0,3.0,0.0,0.0,122.0,999.0,34.0,1.0,0.0,0.0,0.0,52,143376585
2023,1,3110344,화계중학교,22,193.0,19.0,0.0,0.0,0.0,106.0,95.0,11.0,0.0,0.0,0.0,0.0,49,117619258
2023,2,3110344,화계중학교,22,193.0,19.0,0.0,0.0,0.0,106.0,95.0,11.0,0.0,0.0,0.0,0.0,49,117619258
2023,3,3110344,화계중학교,22,193.0,19.0,0.0,0.0,0.0,106.0,95.0,11.0,0.0,0.0,0.0,0.0,49,117619258
2023,1,3110366,광산사거리,27,198.0,34.0,0.0,0.0,0.0,46.0,180.0,6.0,0.0,0.0,0.0,0.0,52,120282010
2023,2,3110366,광산사거리,27,198.0,34.0,0.0,0.0,0.0,46.0,180.0,6.0,0.0,0.0,0.0,0.0,52,120282010
2023,3,3110366,광산사거리,27,198.0,34.0,0.0,0.0,0.0,46.0,180.0,6.0,0.0,0.0,0.0,0.0,52,120282010
2023,1,3110345,솔밭공원역 2번,94,703.0,124.0,2.0,0.0,0.0,220.0,544.0,65.0,0.0,0.0,0.0,0.0,52,129517148
2023,2,3110345,솔밭공원역 2번,94,703.0,124.0,2.0,0.0,0.0,220.0,544.0,65.0,0.0,0.0,0.0,0.0,52,129517148
2023,3,3110345,솔밭공원역 2번,94,703.0,124.0,2.0,0.0,0.0,220.0,544.0,65.0,0.0,0.0,0.0,0.0,52,129517148
2023,1,3110346,4.19민주묘지역 2번,26,167.0,42.0,2.0,4.0,0.0,74.0,124.0,17.0,0.0,0.0,0.0,0.0,55,123292184
2023,2,3110346,4.19민주묘지역 2번,26,167.0,42.0,2.0,4.0,0.0,74.0,124.0,17.0,0.0,0.0,0.0,0.0,55,123292184
2023,3,3110346,4.19민주묘지역 2번,26,167.0,42.0,2.0,4.0,0.0,74.0,124.0,17.0,0.0,0.0,0.0,0.0,55,123292184
2023,1,3110350,가오리역 2번,62,498.0,63.0,2.0,0.0,0.0,114.0,430.0,19.0,0.0,0.0,0.0,0.0,52,136031264
2023,2,3110350,가오리역 2번,62,498.0,63.0,2.0,0.0,0.0,114.0,430.0,19.0,0.0,0.0,0.0,0.0,52,136031264
2023,3,3110350,가오리역 2번,62,498.0,63.0,2.0,0.0,0.0,114.0,430.0,19.0,0.0,0.0,0.0,0.0,52,136031264
2023,1,3110351,수유북부시장옆,71,547.0,52.0,1.0,0.0,0.0,167.0,396.0,37.0,0.0,0.0,0.0,0.0,51,132211583
2023,2,3110351,수유북부시장옆,71,547.0,52.0,1.0,0.0,0.0,167.0,396.0,37.0,0.0,0.0,0.0,0.0,51,132211583
2023,3,3110351,수유북부시장옆,71,547.0,52.0,1.0,0.0,0.0,167.0,396.0,37.0,0.0,0.0,0.0,0.0,51,132211583
2023,1,3110352,수유1동주민센터,125,962.0,127.0,0.0,0.0,0.0,270.0,762.0,57.0,0.0,0.0,0.0,0.0,50,131836451
2023,2,3110352,수유1동주민센터,125,962.0,127.0,0.0,0.0,0.0,270.0,762.0,57.0,0.0,0.0,0.0,0.0,50,131836451
2023,3,3110352,수유1동주민센터,125,962.0,127.0,0.0,0.0,0.0,270.0,762.0,57.0,0.0,0.0,0.0,0.0,50,131836451
2023,1,3110371,삼양입구사거리,25,106.0,23.0,0.0,0.0,1.0,5.0,81.0,36.0,8.0,0.0,0.0,0.0,45,178921654
2023,2,3110371,삼양입구사거리,25,106.0,23.0,0.0,0.0,1.0,5.0,81.0,36.0,8.0,0.0,0.0,0.0,45,178921654
2023,3,3110371,삼양입구사거리,25,106.0,23.0,0.0,0.0,1.0,5.0,81.0,36.0,8.0,0.0,0.0,0.0,45,178921654
2023,1,3110372,강북중학교,61,477.0,49.0,0.0,1.0,0.0,185.0,335.0,6.0,1.0,0.0,0.0,0.0,49,118067445
2023,2,3110372,강북중학교,61,477.0,49.0,0.0,1.0,0.0,185.0,335.0,6.0,1.0,0.0,0.0,0.0,49,118067445
2023,3,3110372,강북중학교,61,477.0,49.0,0.0,1.0,0.0,185.0,335.0,6.0,1.0,0.0,0.0,0.0,49,118067445
2023,1,3110355,삼양사거리역 2번,34,194.0,26.0,0.0,0.0,0.0,74.0,131.0,11.0,4.0,0.0,0.0,0.0,50,124912940
2023,2,3110355,삼양사거리역 2번,34,194.0,26.0,0.0,0.0,0.0,74.0,131.0,11.0,4.0,0.0,0.0,0.0,50,124912940
2023,3,3110355,삼양사거리역 2번,34,194.0,26.0,0.0,0.0,0.0,74.0,131.0,11.0,4.0,0.0,0.0,0.0,50,124912940
2023,1,3110356,덕수교,79,647.0,64.0,0.0,0.0,0.0,176.0,535.0,0.0,0.0,0.0,0.0,0.0,48,122607182
2023,2,3110356,덕수교,79,647.0,64.0,0.0,0.0,0.0,176.0,535.0,0.0,0.0,0.0,0.0,0.0,48,122607182
2023,3,3110356,덕수교,79,647.0,64.0,0.0,0.0,0.0,176.0,535.0,0.0,0.0,0.0,0.0,0.0,48,122607182
