year_code,quarter_code,commercial_district_code,commercial_district_name,commercial_district_change_indicator_code,commercial_district_change_indicator_name,rdi,store_density
2023,1,3110014,경복고등학교,LH,상권확장,2.286244058506528,0.0006938859188468878
2023,2,3110014,경복고등학교,LH,상권확장,2.330670518357051,0.0006781157843276403
2023,3,3110016,평창동동측,HH,정체,1.8109066775438745,0.00020466013029390724
2023,1,3110016,평창동동측,HH,정체,1.8775019666839177,0.00021039826478812894
2023,2,3110016,평창동동측,HH,정체,1.8507840134045705,0.00020657284179198115
2023,3,3110005,세검정,HH,정체,3.0076981076364175,0.0003021357732838484
2023,1,3110005,세검정,HH,정체,2.8479661999367107,0.0003225503525597841
2023,2,3110005,세검정,HH,정체,2.9608596383042154,0.00031030160499422266
2023,3,3110006,부암동주민센터,LH,상권확장,2.198032479830992,0.00025140458649410837
2023,1,3110006,부암동주민센터,LH,상권확장,2.1903971263580093,0.00024047395229871238
2023,2,3110006,부암동주민센터,LH,상권확장,2.231341058003659,0.00024047395229871238
2023,3,3110007,사직공원(한국사회과학도서관),LH,상권확장,1.8194143488255827,0.0008722524049244878
2023,1,3110007,사직공원(한국사회과학도서관),LH,상권확장,1.7369192525032011,0.0008847131535662662
2023,2,3110007,사직공원(한국사회과학도서관),LH,상권확장,1.7874456657556623,0.0008971739022080446
2023,3,3110037,신설동역 12번,HH,정체,3.6752536339769915,0.00184675550405562
2023,1,3110037,신설동역 12번,HH,정체,3.962177738047193,0.001901071842410197
2023,2,3110037,신설동역 12번,HH,정체,3.780617115053247,0.0019191772885283893
2023,3,3110039,회현역 1번,LH,상권확장,1.3902315383109345,0.002115229653505238
2023,1,3110039,회현역 1번,LH,상권확장,1.3715739993880902,0.002115229653505238
2023,2,3110039,회현역 1번,LH,상권확장,1.383765164501813,0.002115229653505238
2023,3,3110021,성균관대학교,HL,상권축소,1.7923908222882998,0.001532419032901938
2023,1,3110021,성균관대학교,HL,상권축소,1.6711443182562995,0.0015066640911724938
2023,2,3110021,성균관대학교,HL,상권축소,1.6839843674107293,0.0015066640911724938
2023,3,3110022,경신고등학교,HH,정체,2.816354626529409,0.001661626399920242
2023,1,3110022,경신고등학교,HH,정체,2.6480329928794664,0.0016283938719218371
2023,2,3110022,경신고등학교,HH,정체,2.5911248664976987,0.0016450101359210395
2023,3,3110023,서울대병원,HH,정체,1.6097020802035384,0.002191746508860918
2023,1,3110023,서울대병원,HH,정체,1.5722600660935884,0.0022543678376855157
2023,2,3110023,서울대병원,HH,정체,1.6086689317641973,0.002191746508860918
2023,3,3110024,혜회동주민센터,HH,정체,4.171512573500054,0.001967833491012299
2023,1,3110024,혜회동주민센터,HH,정체,3.783973800951003,0.002043519394512772
2023,2,3110024,혜회동주민센터,HH,정체,4.098104271424623,0.002043519394512772
2023,3,3110025,충신시장옆,HL,상권축소,2.6992679876251255,0.0014546753777051858
2023,1,3110025,충신시장옆,HL,상권축소,2.870746092892357,0.0015057166190281747
2023,2,3110025,충신시장옆,HL,상권축소,2.839349386661349,0.0015057166190281747
2023,3,3110027,혜화역 1번,LL,다이나믹,1.7204515025943026,0.0005693744529331283
2023,1,3110027,혜화역 1번,LL,다이나믹,1.658225279772936,0.0005608763267699472
2023,2,3110027,혜화역 1번,LL,다이나믹,1.7135807071349538,0.0005523782006067662
2023,3,3110028,이화달팽이길,HH,정체,4.39973857626854,0.0012317437972901636
2023,1,3110028,이화달팽이길,HH,정체,4.186092761721098,0.0012128905759030693
2023,2,3110028,이화달팽이길,HH,정체,4.170637180571572,0.0012254593901611323
2023,3,3110029,동대문역 1번,HH,정체,3.460378143769115,0.0010507080858839653
2023,1,3110029,동대문역 1번,HH,정체,3.4275639139705367,0.0010768126346015793
2023,2,3110029,동대문역 1번,HH,정체,3.379738213934124,0.0010507080858839653
2023,3,3110030,동대문역 3번,HH,정체,2.030988335091303,0.0034930684423097914
2023,1,3110030,동대문역 3번,HH,정체,1.9739132927466077,0.0033839100534876106
2023,2,3110030,동대문역 3번,HH,정체,1.9944920143296494,0.0033839100534876106
2023,3,3110031,창신역 1번,HH,정체,3.136130160521514,0.0016728511466634224
2023,1,3110031,창신역 1번,HL,상권축소,2.982467327122765,0.0017032666220573027
2023,2,3110031,창신역 1번,HL,상권축소,3.0552917980973224,0.0016728511466634224
2023,3,3110033,창신역 4번,HH,정체,3.0639389202120264,0.0013227343358717847
2023,1,3110033,창신역 4번,HH,정체,2.849799348137792,0.0012842080930794025
2023,2,3110033,창신역 4번,HH,정체,2.9301773732075853,0.0013098922549409906
2023,3,3110057,황학코아루아파트,HH,정체,2.7896984923810706,0.004002646377770426
2023,1,3110057,황학코아루아파트,HH,정체,2.698726645098053,0.004201124710552432
2023,2,3110057,황학코아루아파트,HH,정체,2.676788151215692,0.004035726099900761
2023,3,3110058,성심여자고등학교,HH,정체,2.3698498305126083,0.0019392419997050583
2023,1,3110058,성심여자고등학교,HH,정체,2.450606638248229,0.0019466155434301725
2023,2,3110058,성심여자고등학교,HH,정체,2.454578626302534,0.0019761097183306296
2023,3,3110059,새남터성지,HH,정체,2.5113022269866674,0.002176584167105494
2023,1,3110059,새남터성지,HH,정체,2.457966742862908,0.002176584167105494
2023,2,3110059,새남터성지,HH,정체,2.461543739782463,0.0021590310689836756
2023,3,3110036,동묘앞역 3번,LL,다이나믹,1.6937395292398865,0.0030926157018067385
2023,1,3110036,동묘앞역 3번,LL,다이나믹,1.7826781120268465,0.0030383592859855677
2023,2,3110036,동묘앞역 3번,LL,다이나믹,1.679520066306416,0.0031468721176279094
