year_code,quarter_code,commercial_district_code,commercial_district_name,total_foot_traffic,age_10_foot_traffic,age_20_foot_traffic,age_30_foot_traffic,age_40_foot_traffic,age_50_foot_traffic,age_over_60_foot_traffic,time_00_to_06_foot_traffic,time_06_to_11_foot_traffic,time_11_to_14_foot_traffic,time_14_to_17_foot_traffic,time_17_to_21_foot_traffic,time_21_to_24_foot_traffic,mon_foot_traffic,tue_foot_traffic,wed_foot_traffic,thu_foot_traffic,fri_foot_traffic,sat_foot_traffic,sun_foot_traffic
2023,3,3111052,암사역 3번(천호동자전거거리),1284556,206395,155644,240373,217356,190638,274150,345865,267531,150351,148636,206733,165441,185657,185189,183882,184596,183745,180546,180942
2023,3,3111051,천호역 6번,2785852,418205,367373,442669,422451,420923,714231,766519,556720,307299,313968,466150,375196,393549,391020,389381,388849,388873,410055,424126
2023,3,3111049,천호지구대(천호동자전거거리),1310633,170700,170640,239762,210153,201857,317519,321600,268351,167019,164887,225019,163758,185866,184725,184299,183763,184848,192467,194663
2023,3,3111047,마천1치안센터,283157,47903,28140,37067,43419,49487,77139,78537,57068,30161,32679,48091,36621,38808,38266,38019,38441,38017,44012,47594
2023,3,3111046,마천역(마천초등학교),1947153,285117,185587,264143,285633,339571,587101,571233,400979,205985,202802,301189,264965,275456,272591,272427,273888,271998,282137,298656
2023,3,3111045,개미어린이공원,292629,51601,28496,38904,45723,49175,78730,99507,59157,26432,25039,39320,43173,41868,41838,41268,41332,41342,42746,42232
2023,3,3111044,남천초등학교,1290823,183403,139236,164089,184231,216711,403153,358854,244498,142973,144596,223438,176465,180993,180446,179960,183475,180974,190331,194645
2023,3,3111043,마천공원,620258,88105,72948,84043,88567,107562,179033,183161,125864,64090,65497,97571,84075,86990,86393,86026,86025,87336,91996,95494
2023,3,3111042,거여역 1번(거여공원),2158371,324154,256315,307011,327577,382404,560909,581984,429245,236003,240810,367998,302332,306407,304663,302802,303954,301551,313751,325243
2023,3,3111040,거여초등학교,682145,140664,80170,90825,110589,111694,148199,180770,156435,80406,79459,104422,80652,96978,96436,95898,95763,93377,97651,106044
2023,3,3111039,벌말어린이공원,997134,197473,113058,134834,154766,163645,233360,307317,209334,109705,101118,142175,127486,143688,144563,141959,141358,140344,139677,145544
2023,3,3111038,보인중학교,649172,150695,63831,81529,93001,102616,157500,156997,132205,88488,83224,108616,79642,100597,96913,97692,96001,95220,81942,80807
2023,3,3111037,Sh수협은행 오금동금융센터(아랫말어린이공원),258402,55248,26001,36337,44834,42044,53938,63058,52774,31495,31508,45069,34498,36998,37069,36784,37208,36572,36775,36996
2023,3,3111036,투구봉어린이공원,340636,58336,40501,44351,48603,55091,93753,99577,68707,35295,35390,54975,46692,47309,47138,47014,47419,47078,50656,54023
2023,3,3111035,오금공원(오주중학교),629987,100866,70470,89520,93971,113060,162098,219793,139058,58460,51572,74080,87023,90278,89385,89698,89498,88244,90252,92632
2023,3,3111034,오동나무공원(송파레미니스1단지),840528,176742,89265,122979,131511,138302,181728,235250,176901,97077,90750,129381,111170,120921,120501,119527,118689,116364,118211,126315
2023,3,3111033,문정동성당,45295,7514,4479,6925,7699,7940,10737,11864,10259,5423,5118,6808,5824,6613,6633,6456,6565,6410,6259,6358
2023,3,3111032,방이역 1번,361478,83566,36490,43467,55425,56555,85974,75817,74577,52562,52146,65892,40483,52535,53107,52409,52531,52049,49514,49332
2023,3,3111031,장지동주민센터(한림연예예술고교),1025475,207554,124770,159992,167408,151159,214589,296384,225442,114560,105594,152093,131401,147471,147247,144889,145849,144265,144561,151192
2023,3,3111030,방이역 2번,1338013,293849,143601,166617,203093,210224,320629,328998,277748,169727,163351,230029,168160,186254,188082,186438,185976,185042,198429,207793
2023,3,3111029,오금역 4번,177322,39357,18109,24804,30954,25866,38230,46387,37151,21347,21301,28102,23032,26193,26116,26007,25869,25262,23579,24295
2023,3,3111028,문현중학교(장지역 1번),886437,168546,119855,177921,147574,116012,156530,188944,191470,124516,124911,154659,101936,130444,131350,131354,129335,127930,118890,117134
2023,3,3111027,문정초등학교,945696,150554,133780,175350,155857,142726,187430,271067,194422,104103,100054,146225,129825,136250,135462,134320,133076,131707,134104,140779
2023,3,3111026,문정역 2번,985201,150817,135714,218977,172537,140770,166385,255872,209139,124562,119465,156041,120121,144307,143846,142804,140958,139441,135069,138776
2023,3,3111025,경찰병원역 3번,962236,149640,134879,179557,163356,134481,200323,257446,205581,111584,112210,153952,121463,139391,137259,138160,137469,135605,134499,139852
2023,3,3111024,경찰병원역 4번(건너말공원),385626,51346,57880,71976,62408,60208,81809,101919,80228,46817,45912,60875,49875,57427,56557,56537,56361,56028,51524,51193
2023,3,3111023,문정역 1번,881836,99342,161520,198027,155413,121676,145858,221810,193332,118436,112465,135279,100515,135334,134106,134520,132617,130840,108286,106133
2023,3,3111022,석촌중학교(방이육교),388725,70129,46893,60143,62661,63810,85092,93378,81601,50433,49888,64901,48525,56601,56716,56342,56495,55682,53038,53852
2023,3,3111021,방이역 4번,2539493,661114,286014,333724,409439,347176,502025,508167,455289,319914,360396,572955,322771,366423,365923,360928,365728,364810,360624,355056
2023,3,3111020,방이동고분군(방산고등학교),240622,59131,23197,28451,35714,39847,54280,77988,49935,24832,23840,32396,31630,34805,34444,34071,34155,34404,34121,34622
2023,3,3111019,한성백제역 3번,1435246,244246,188877,259464,233807,206091,302760,434721,294229,143490,144447,226276,192082,204231,202019,202092,200042,201282,211134,214448
2023,3,3111017,송파나루역 3번,156652,26161,20680,28393,26136,23387,31895,42038,31881,18298,18211,25852,20370,22677,22547,22499,22169,21944,21944,22869
2023,3,3111016,송파역 2번,703762,164890,75604,109849,104025,99770,149626,173181,162182,98341,87687,102464,79908,105052,105197,103971,102219,100238,92693,94395
2023,3,3111015,석촌역 3번,1722183,292038,277877,345683,269160,220396,317030,477205,359404,196156,194229,271388,223799,248200,248096,247055,245924,243593,243050,246267
2023,3,3111014,송파나루역 2번,730295,78888,146288,168049,120106,92172,124793,202415,137477,75199,73322,131200,110682,102607,102824,103312,103418,104918,108530,104685
2023,3,3111013,송파나루역 1번(송리단길),2290459,228722,453230,522467,375746,296130,414165,596186,421031,271876,276485,422119,302760,319690,318752,320611,318947,325214,347079,340166
2023,3,3111012,석촌역 6번,909011,136089,125499,187014,161301,125937,173172,239463,184161,106734,103984,151373,123296,130251,129730,129185,127885,128241,129066,134652
2023,3,3111011,잠실나루역,42549,8706,4639,5153,7873,6214,9962,9423,9230,5179,5505,7774,5439,6304,6249,6215,6181,6259,5853,5487
2023,3,3111010,석촌역 7번,1622040,168661,267208,382995,290701,208419,304058,477650,329769,176307,169184,249740,219391,230695,228818,228386,228598,226586,235354,243603
2023,3,3111009,송파책박물관,236008,39535,29949,48738,40508,30480,46799,63141,48201,27326,27154,38510,31676,33581,33468,33506,33029,32778,34136,35512
2023,3,3111008,석촌고분역 3번,637698,90009,90432,134851,110429,86852,125127,203290,135157,64559,61635,87789,85269,90930,90296,90146,88864,88571,91772,97121
2023,3,3111007,석촌고분역 4번,1123100,190912,172206,232141,177740,147217,202883,374007,240066,107917,100333,147229,153547,161324,160617,158949,158635,156962,159326,167290
2023,3,3111006,석촌고분역 1번,1982161,306873,284934,409043,349049,265290,366973,565162,395326,208366,209032,324222,280052,281418,281013,277882,278679,277571,286883,298715
2023,3,3111005,삼전역 3번,1456363,221027,211125,312872,246981,192841,271518,482385,311786,137594,130665,195662,198272,206657,204540,203415,202882,201626,213091,224154
2023,3,3111004,삼전역 1번,2287157,365470,345431,457051,390788,312234,416184,658834,468779,240279,240097,365292,313876,325356,326288,324519,322079,321147,330988,336778
2023,3,3111003,삼전역 4번,2169443,287641,306147,443313,374660,290699,466983,652686,457474,220975,215396,325082,297831,308167,304590,303475,302173,300401,314790,335850
2023,3,3111001,아래방죽마을공원(율현초등학교),71822,13232,10022,15259,12057,9423,11831,16470,16144,8819,9176,12477,8737,10201,10239,10060,10122,9925,10641,10636
2023,3,3110999,윗방죽마을공원,160763,25681,25326,37420,31041,18056,23239,43098,33089,18267,18334,25767,22208,23310,23390,23421,22886,22637,22342,22778
2023,3,3110997,대청초등학교,1832284,257108,243283,294462,312780,277951,446699,480864,381751,216800,210180,298722,243966,266046,263482,264269,260673,260013,255896,261906
2023,3,3110996,대치2동주민센터,869393,368561,80165,68134,153994,108517,90022,193744,163890,109409,122280,174797,105275,122421,122067,119095,122656,121543,132043,129570
2023,3,3110995,봉은사역 4번,639907,116374,70224,106365,126167,98275,122503,160001,147803,78547,74875,98040,80639,92264,92346,91637,92094,91612,89704,90249
2023,3,3110994,개포고등학교,470788,96689,39180,62617,89061,71088,112152,115458,110679,68132,61137,64428,50955,70162,70042,70396,69281,67982,63153,59772
2023,3,3110992,도곡초등학교,2097466,796717,252329,202290,348791,272825,224513,493325,402490,250931,270477,414070,266173,290008,287747,284833,286352,287874,331147,329503
2023,3,3110989,대치동아우편취급국,630607,133959,92997,122274,125465,84464,71448,115852,124145,104099,102568,119038,64906,96615,97529,98381,95410,94560,76297,71816
2023,3,3110988,청담역 3번,136442,18872,16967,24665,28539,19858,27540,25393,31280,20215,21473,23032,15049,19148,20884,19414,20782,19164,18853,18196
2023,3,3110984,포이초등학교(개포목련어린이공원),900682,193086,91616,150465,145123,147083,173309,309890,208492,92227,80459,103232,106380,132840,130060,131494,128144,126612,122823,128710
2023,3,3110983,국립국악고등학교,441784,94934,52661,60864,76815,78275,78235,108242,93518,56217,58051,72740,53015,65527,64410,65316,63690,62609,59508,60727
2023,3,3110982,강남구보훈회관,361647,79103,38191,60224,82652,45290,56187,96099,75899,43482,46527,56300,43341,52580,51716,51765,51717,51071,51003,51796
2023,3,3110981,국악고교사거리,517242,88273,69397,93340,89209,87670,89354,111948,101198,70122,70790,92064,71122,78539,76329,77583,75638,74984,66387,67781
2023,3,3110980,개포지구대옆,520810,78391,68978,83108,92799,91028,106507,141845,114287,62423,61030,76403,64822,77622,76562,76976,75286,74917,69680,69767
2023,3,3110979,청담초등학교,322009,49786,45861,54077,63580,50269,58436,74332,73010,45644,45367,49319,34337,45920,47682,48307,47525,47387,44026,41160
2023,3,3110976,언북초등학교,784403,102200,128550,168442,155332,106190,123691,196928,168010,107719,101179,121447,89120,109622,114745,115736,114101,113509,111816,104874
2023,3,3110975,매봉역 1번,323511,45937,47453,54533,50386,52942,72261,61851,68991,49509,48638,60943,33580,47658,48567,48679,47942,47869,41583,41213
2023,3,3110974,언주중학교,371230,60778,57173,82097,72987,49707,48486,96248,81062,49417,48096,54315,42092,55812,55557,55552,54790,53423,47642,48453
2023,3,3110973,강남구청역 4번,941400,162471,138047,180840,194093,133588,132360,181853,207643,150938,142289,162085,96590,142758,146635,147975,142277,138108,114444,109200
2023,3,3110972,강남세브란스병원미래의학연구센터,284515,44275,47244,55822,56729,38623,41824,85060,63904,35583,31320,34984,33664,41899,41604,42434,41167,40063,37271,40077
2023,3,3110971,선정릉역 4번,760816,41371,142892,217944,159389,97348,101871,189752,168095,106916,102906,111150,81998,117953,116061,116564,114110,110785,92259,93086
2023,3,3110970,학동초등학교,344447,37471,66815,89812,64409,40764,45176,71022,72940,53009,52133,58780,36564,53696,53495,53711,53218,51787,39991,38550
2023,3,3110969,베르사이유1아파트,837381,57982,194683,230992,180181,94942,78601,153563,193834,144108,142541,128144,75191,137094,135425,136705,133043,127137,84504,83475
2023,3,3110968,강남구청역 2번,291299,29838,53847,73657,58076,39536,36344,47033,58523,51330,51697,54253,28463,45826,46288,46965,45839,44897,32172,29312
2023,3,3110967,역삼역 8번,568907,29357,118096,168473,127012,68407,57562,108646,120034,98073,91356,94730,56068,88391,89847,91193,87936,84892,61242,65405
2023,3,3110966,논현2동주민센터,1697885,131908,318528,435472,360283,218055,233639,281425,346972,293935,297654,316214,161688,265044,271062,274949,264769,257520,194070,170471
2023,3,3110961,언주역 3번,1189933,176578,185345,253053,247544,157188,170225,295408,261237,165735,161521,175392,130640,182203,182657,183323,179765,175214,145563,141208
2023,3,3110959,신구중학교,110335,14770,18280,23723,23036,14387,16138,15171,22834,20770,20739,21317,9503,16435,16685,16780,16530,16694,14374,12838
2023,3,3110958,역삼역 4번,634895,27848,154043,182652,129417,74745,66190,85594,134873,123627,123516,116464,50822,103901,104463,105550,101170,97967,65883,55961
2023,3,3110957,언북중학교,854553,55228,177344,231240,192112,96979,101651,153119,181478,150649,148762,142457,78089,137596,138658,141330,137163,130591,87127,82089
2023,3,3110956,언주역 8번,537187,19513,129084,153977,108544,61337,64733,108885,116880,87395,90155,85444,48428,82180,81571,83199,79953,78910,67173,64203
2023,3,3110955,논현초등학교,2670294,162640,626191,744065,503277,293332,340790,677676,589886,340937,334204,414730,312862,391850,392106,394591,386135,381298,359406,364908
2023,3,3110954,국기원,493510,50703,195605,115211,69650,35689,26652,46824,66280,82151,95007,143173,60076,68298,68884,71835,69452,75386,78748,60907
2023,3,3110953,학동근린공원,432245,26470,93655,121571,85621,54379,50550,64985,91331,78749,81150,77997,38036,69166,69339,70669,68125,65467,45441,44038
2023,3,3110952,논현목련공원,202975,14234,48603,48522,42625,21599,27393,57763,43783,23834,23095,29781,24720,29977,29530,29738,29075,28698,27265,28691
2023,3,3110951,신사은행나무공원,519049,45498,105186,133084,109004,61367,64910,108473,100815,76876,79252,93908,59724,77986,78974,80336,78158,77702,65234,60660
2023,3,3110949,한남IC,369504,40548,80626,86407,70285,47822,43816,69406,67880,60032,61847,72448,37891,54538,54687,55084,54392,55687,50259,44856
2023,3,3110947,청계산입구역 2번(내곡동주민센터),12153,1477,1363,2264,2403,1893,2752,590,2850,2860,2715,2467,669,1804,1901,1936,1860,1894,1574,1185
2023,3,3110945,본마을노인복지센터(서초구립내곡도서관),30877,4427,3200,5665,6376,4120,7090,4469,7334,4638,4929,6284,3222,4349,4287,4427,4264,4544,4373,4631
2023,3,3110943,법제교육센터(버들어린이공원),462940,53748,67494,104608,88538,70477,78075,106633,95831,60997,59230,79641,60610,69207,68627,68979,66885,66420,60893,61927
2023,3,3110942,염곡동 구룡사(포이동성당),1628659,175528,225154,369153,330955,247754,280117,478992,360453,186989,178219,225708,198297,241955,240981,242326,237213,233424,212436,220324
2023,3,3110940,양재근린공원(양재2동주민센터),393121,52900,60479,81175,77602,55185,65782,76565,86149,61122,57510,69023,42751,59544,59616,59415,59652,58533,49265,47096
2023,3,3110939,양재역 8번(양재동우체국),1851141,182576,286970,424133,337323,254545,365595,400736,383144,268782,266672,324672,207138,281832,281944,284238,277748,275547,227072,222761
2023,3,3110936,더케이호텔(양재리본타워2단지아파트),193963,32302,25814,34489,40592,30624,30143,38425,45102,29235,29345,32007,19848,27978,28485,28573,28480,28643,26490,25315
2023,3,3110935,한전아트센터,684850,118905,99732,115710,138565,95438,116496,168481,147219,92780,89576,108447,78349,101751,102139,102818,101316,100155,89061,87611
2023,3,3110934,우면주공아파트,439598,63962,50020,78478,87976,55727,103435,113756,98267,61321,60216,60624,45415,66957,66942,66712,65661,62332,53929,57064
2023,3,3110932,서울시인재개발원,243373,42172,27946,43181,48409,38797,42870,50009,54588,38538,38172,38423,23643,37545,37879,37845,36871,36087,29275,27871
2023,3,3110931,삼성전자서울R&D(서울우면초등학교),24971,3208,2697,6709,7711,2938,1709,2947,6217,5384,5190,3951,1282,4554,4589,4599,4393,3910,1526,1400
2023,3,3110930,서초동성당,465312,84894,57672,74846,91121,68524,88255,110753,105502,60656,60705,72610,55088,68591,68382,67885,67429,66760,62044,64220
2023,3,3110929,남부터미널역 1번,1624227,327705,209615,257633,317666,212992,298613,472280,349570,177652,177999,237484,209243,235100,234526,234163,232141,230603,225106,232589
2023,3,3110926,신중초등학교,903572,209836,127282,121387,175287,126434,143347,236608,196336,119473,115894,131969,103295,134193,134581,134720,131702,129605,116579,122194
2023,3,3110925,서초중학교,544198,105958,74352,83583,95011,86917,98378,177890,120998,57684,51821,66734,69073,79700,78943,78487,78294,76527,73252,78995
2023,3,3110924,반포4동주민센터(몽마르뜨공원),386579,70679,45492,57836,72354,61829,78390,91060,82413,52082,52700,62755,45569,56825,56867,56215,55926,55387,52988,52372
2023,3,3110922,내방역 1번,932788,161532,118063,163603,157381,126230,205978,263708,195610,109902,109464,138767,115338,135395,137382,136398,134932,133950,127057,127675
2023,3,3110921,서울프랑스학교,320166,76358,29398,39971,63215,47536,63687,91285,66695,37747,36633,47802,40005,46275,45368,46156,46173,45624,45313,45256
2023,3,3110919,내방역 8번,575879,98334,71077,84112,109696,94672,117990,174212,120770,62927,61843,83175,72954,83744,82743,82240,82532,81475,80172,82975
2023,3,3110918,방배역 3번,993453,159908,156777,177772,178276,129698,191024,265947,203072,117132,116426,162443,128434,147347,145123,145502,144620,141826,134012,135026
2023,3,3110917,서초소방서,99680,21490,8873,13540,16832,16196,22748,32967,22084,9997,9583,12271,12780,14247,14226,14227,14118,14060,13868,14932
2023,3,3110916,내방역 4번,756803,135225,99099,143066,138649,100957,139806,179279,156828,98689,99567,130819,91622,113218,112078,111890,110228,108789,99992,100610
2023,3,3110915,서래초등학교,203117,39854,17021,26861,37933,33768,47679,47744,42730,26185,27077,35789,23594,29256,28809,28790,29047,28924,28864,29426
2023,3,3110913,방현초등학교(방배119안전센터),859116,177551,98803,114696,141948,143123,182996,281018,204743,90570,80247,96160,106381,127026,127431,127210,125305,123634,113282,115229
2023,3,3110912,방배동사이길,149116,32365,13654,20182,28322,22379,32214,26997,30328,22073,23405,29086,17226,21570,21417,21417,21138,21114,20945,21516
2023,3,3110910,내방역 5번,451466,81957,58444,77428,88604,58324,86710,127400,95891,51156,50036,68275,58708,65976,65793,66151,65189,63599,61487,63272
2023,3,3110908,구반포역,21503,4167,2120,2828,4211,3708,4468,530,4882,4576,4925,5052,1535,3274,3312,3396,3345,3503,2669,2003
2023,3,3110907,방배초등학교,809706,186769,93308,104761,137631,118109,169127,212223,167229,98469,98216,132569,101000,116319,116094,114929,113859,114209,113751,120545
2023,3,3110906,서문여고,468291,117784,49300,56394,84512,68513,91788,130770,95210,53855,55661,72829,59967,69064,68150,68538,67630,67021,63313,64575
