year_code,quarter_code,commercial_district_code,commercial_district_name,monthly_average_income_amount,expenditure_total_amount
2023,1,3110112,행당역 2번,2622180.0,1692234915.0
2023,1,3110113,응봉산,2938811.0,789172732.0
2023,1,3110114,왕십리파출소,3041500.0,319484780.0
2023,1,3110115,상왕십리역 3번,2609932.0,909916791.0
2023,1,3110116,청계천박물관,2334335.0,1029149453.0
2023,1,3110117,성동구보건소,2205692.0,524998968.0
2023,1,3110118,왕십리역 9번,4163150.0,515886079.0
2023,1,3110120,서울숲카페거리,3108465.0,565691515.0
2023,1,3110121,한양대역 4번,2656203.0,451382057.0
2023,1,3110123,마장역 3번,2497084.0,1068633264.0
2023,1,3110124,뚝섬역교차로,2380327.0,426644891.0
2023,1,3110125,사근동살곶이상점가,2481227.0,2207499924.0
2023,1,3110126,서울숲역 1번,2683911.0,397341358.0
2023,1,3110127,성수1가1동주민센터,3016480.0,153848864.0
2023,1,3110128,성원중학교,2435523.0,4070992102.0
2023,1,3110129,성원어린이공원,3039148.0,536029154.0
2023,1,3110130,답십리역 6번,2237845.0,821791392.0
2023,1,3110131,성수동카페거리,2619989.0,1602323628.0
2023,1,3110132,성수2가3동주민센터,2818946.0,952107247.0
2023,1,3110133,서울교통공사,2556713.0,522124617.0
2023,1,3110134,성수119안전센터,2610406.0,2936426722.0
2023,1,3110135,성동세무서,2567089.0,453428765.0
2023,1,3110136,경수초등학교,2669023.0,1330547106.0
2023,1,3110137,성수초등학교,3333473.0,1510657423.0
2023,1,3110138,송정체육공원,2292404.0,1285313918.0
2023,1,3110139,자양4동주민센터,2460503.0,1598822707.0
2023,1,3110140,건대입구역 6번,2369396.0,3143153809.0
2023,1,3110141,건대입구역 1번,2282949.0,956074750.0
2023,1,3110142,화양사거리,2456645.0,2113204735.0
2023,1,3110144,어린이대공원역 4번,2488181.0,867862648.0
2023,1,3110146,신자초등학교,2667017.0,1506488855.0
2023,1,3110147,능동우편취급국,2463450.0,3195168079.0
2023,1,3110148,어린이대공원역 3번,2418795.0,657325391.0
2023,1,3110149,세종대학교,2772298.0,594089068.0
2023,1,3110150,중곡1동 마을마당,2480827.0,2331626455.0
2023,1,3110151,자양한강도서관,2491117.0,2108821996.0
2023,1,3110152,중곡어린이공원,2376956.0,731359996.0
2023,1,3110153,중곡1동주민센터,2616029.0,1118735342.0
2023,1,3110154,광진정말공원,2491844.0,2185328256.0
2023,1,3110155,광진구청,2754211.0,1783791264.0
2023,1,3110156,군자역 5번,2845498.0,2858750912.0
2023,1,3110157,자양동우체국,2628698.0,2938866512.0
2023,1,3110158,중곡3동주민센터,2363691.0,2796479673.0
2023,1,3110159,구의역 4번,2549359.0,4163589289.0
2023,1,3110160,광진경찰서,2586461.0,763674113.0
2023,1,3110161,중곡역 3번,2356839.0,2220720664.0
2023,1,3110162,군자역 4번,2769966.0,1745042930.0
2023,1,3110163,성자초등학교,2717384.0,1416070069.0
2023,1,3110164,아차산역 5번,2952316.0,1624780317.0
2023,1,3110165,국립정신건강센터,2515626.0,2118468606.0
2023,1,3110166,구의1동주민센터,2694438.0,2785503416.0
2023,1,3110167,용마초등학교,2524917.0,3247635962.0
2023,1,3110168,대원고등학교,2678712.0,1473853037.0
2023,1,3110169,성동초등학교,2922750.0,1137499144.0
2023,1,3110170,동대부여고,2548061.0,2972668657.0
2023,1,3110171,중곡4동주민센터,2387003.0,1110794278.0
2023,1,3110172,광진초등학교,2723879.0,1941841534.0
2023,1,3110173,구남초등학교,2880147.0,681804638.0
2023,1,3110174,아차산역 1번,2557225.0,2405017585.0
2023,1,3110175,푸른동산공원,2699984.0,2961500469.0
2023,1,3110176,해오름공원,2380483.0,2599200823.0
2023,1,3110177,동의초등학교,2513600.0,915483682.0
2023,1,3110178,장로회신학대학교,3127430.0,673639856.0
2023,1,3110179,광나루역 1번,3221582.0,541151682.0
2023,1,3110180,광진정보도서관,3838199.0,1133162572.0
2023,1,3110181,신설동역 9번,2955207.0,764263688.0
2023,1,3110182,용두희망어린이공원,2933388.0,553020948.0
2023,1,3110183,한국의류시험연구원,2340603.0,258452133.0
2023,1,3110184,용두사거리,2249832.0,293390454.0
2023,1,3110185,용두초등학교,2387871.0,299199134.0
2023,1,3110186,종암초등학교,2640696.0,187169059.0
2023,1,3110187,제기동역 6번,2668899.0,2359352532.0
2023,1,3110188,용두동신동아아파트,2865719.0,2004731053.0
2023,1,3110189,제기동역 1번,2813260.0,1271809951.0
2023,1,3110190,고대앞사거리,2677268.0,1219156729.0
2023,1,3110191,고려대역 6번,2287115.0,676581689.0
2023,1,3110193,고려대역 4번,2387752.0,864173287.0
2023,1,3110194,홍파초등학교,2390013.0,784169432.0
2023,1,3110195,동대문구청,2427681.0,1966921709.0
2023,1,3110197,세종대왕기념관교차로,2650093.0,273845661.0
2023,1,3110199,홍릉시장,2100044.0,603355743.0
2023,1,3110200,동대문경찰서,2389018.0,484974900.0
2023,1,3110201,전농119안전센터,2140881.0,221045467.0
2023,1,3110203,떡전교사거리,2494473.0,832921974.0
2023,1,3110204,간데메공원,2670116.0,1487270554.0
2023,1,3110205,경희대삼거리,2724291.0,1340587476.0
2023,1,3110206,텃골근린공원,2399037.0,1650193969.0
2023,1,3110207,시립대앞사거리,2272238.0,451116632.0
2023,1,3110208,시조사삼거리,2633460.0,369532496.0
2023,1,3110209,답십리 장령당공원,2349901.0,290747659.0
2023,1,3110210,서울시립대,2527464.0,1657454374.0
2023,1,3110211,전곡마을마당공원,2555583.0,1598657545.0
2023,1,3110212,답십리초등학교,2236709.0,732844534.0
2023,1,3110213,청량초등학교,2393882.0,370015601.0
2023,1,3110214,경희대후문,2726860.0,1062303524.0
2023,1,3110215,회기역 1번,2486293.0,759045970.0
2023,1,3110216,전농중학교,2293645.0,616734755.0
2023,1,3110217,자동차부품상가,2349929.0,630665293.0
2023,1,3110218,답십리사거리,2222772.0,1197403054.0
2023,1,3110219,삼육보건대학교,2369686.0,3112290104.0
